CardHoldersName,Card_Number,Expiry_Date,ShipToAddress,ShipToAddress1,ShipToCity,ShipToCountry,ShipToCustomerNumber,ShipToEmail,ShipToName,ShipToPhone,ShipToState,ShipToZip,RandZip,CardHoldersName_1,OrderDollarAmount,NumItems,AvgLineItemPrice,ZipDistance,BillingShippingZipEqual,reported_as_fraud
Burke Jensen,4929323238126656,319,,81513  Myanmar Way,Ketchikan,USA,703485,Bradley@ante.edu,Maxwell *Jarvis,814-678-5035,CT,89832,98180,Burke Jensen,390.9,2,182.5,,0,0.00
Georgia Rosa,5597425878174264,1021,,48245  Corry Ct.,Corinth,USA,181065,Adrienne@ullamcorper.edu,Georgia *Rosa,076-304-5289,WV,11657,11657,Georgia Rosa,4335,6,680,,1,0.00
Lee Vinson,5574905590876772,720,,30595 North Turkey St.,Wilson,USA,14,Kellie@blandit.gov,Lee *Vinson,710-621-6796,CO,36669,36669,Lee Vinson,807.5,3,253.3,,1,0.00
Farrah Emerson,344806580752702,520,,35039 North Bolivia Blvd.,Santa Fe,USA,863293,Keelie@sollicitudin.com,Naomi *Roth,916-556-8297,IA,24183,76395,Farrah Emerson,223.1,2,105,,0,1.00
Mariko Flynn,5572942546432683,723,,63096 West Bhutan Way,Fredericksburg,USA,192142,Devin@Mauris.gov,Mariko *Flynn,823-413-3448,MS,32107,32107,Mariko Flynn,3657.1,4,860.5,,1,0.00
Zena Vega,5255012698533748,622,,1587 North Congo Ln.,High Point,USA,149213,Gwendolyn@eleifend.edu,Octavia *Goodwin,511-430-7627,FL,88690,94136,Zena Vega,,0,,,0,0.00
Carson Murray,5441121783017643,1020,,12099 West Eritrea Ct.,Nevada City,USA,72,Gabriel@accumsan.us,Carson *Murray,103-684-1884,OR,44372,44372,Carson Murray,4122.5,4,970,0,1,0.00
Wang Moses,4929401595615758,920,,80762 West Christmas Island Ave.,Walnut,USA,778270,Lev@Etiam.gov,Colin *Moses,296-563-9437,TN,68846,35809,Wang Moses,2214.4,5,419.8,757.9,0,0.00
Molly Hewitt,4024007144138806,921,,17519  Costa Rica Ct.,Madison,USA,763846,Mark@a.net,Lydia *Guzman,099-583-7936,UT,17431,14705,Molly Hewitt,1200.6,2,565,,0,0.00
Barry Mckee,4485712154872002,1021,,88357  Moldova Ave.,Kokomo,USA,440894,Herman@ac.org,Barry *Mckee,373-520-4502,DC,84990,84990,Barry Mckee,313.4,3,98.3,,1,0.00
Elton Stone,4539507279569145,1022,,49514  Auburn Hills Ct.,Fresno,USA,454109,Sybill@Cras.com,Robert *Mcneil,007-756-2743,MI,98035,73292,Elton Stone,1034.8,4,236.2,,0,0.00
Emily Wiggins,5136970824381545,220,,27703 West Turks and Caicos Islands Ct.,New Castle,USA,99160,Bryar@condimentum.org,Emily *Wiggins,330-916-6056,NH,56869,56869,Emily Wiggins,639.6,3,200.7,,1,1.00
Troy Olson,5230757937494835,419,,35571 South Durango Ln.,West Palm Beach,USA,121329,Emerson@quis.org,Troy *Olson,121-577-3486,VT,59417,59417,Troy Olson,526,5,105.2,0,1,1.00
Grant Peterson,5164581467367918,220,,11107 South Fort Smith Ln.,Walnut,USA,305007,Rhoda@volutpat.net,Sacha *Parrish,445-787-1147,DC,84224,35580,Grant Peterson,,0,,,0,1.00
Nevada Petersen,5501031982056333,722,,39906  Cincinnati Ave.,Easton,USA,256342,Deanna@Integer.net,Nevada *Petersen,152-331-5122,NY,31816,31816,Nevada Petersen,2354,2,1100,0,1,0.00
Illana Davis,5215359414310698,420,,63321  Bulgaria Way,Newport News,USA,276769,Meghan@sollicitudin.edu,Maggie *Obrien,133-948-0044,SD,11591,35913,Illana Davis,2177.1,4,512.2,,0,1.00
Yeo Clayton,4024007191032803,721,,13244 East Somalia Ct.,Redondo Beach,USA,362997,Kiara@sociis.com,Yeo *Clayton,798-610-5919,WA,39901,39901,Yeo Clayton,327.4,4,76.5,0,1,0.00
Kylynn Melton,4673434191979284,521,,67663 East Uzbekistan St.,New Kensington,USA,380147,Hasad@vehicula.net,Ivor *Jacobs,764-597-4258,TX,4212,57952,Kylynn Melton,2542.6,3,803.3,,0,0.00
Addison Wooten,4532555454486731,820,,27936 South Fullerton Ct.,Anaconda,USA,491434,Ava@condimentum.edu,Derek *Gomez,322-386-8921,TN,89427,50138,Addison Wooten,336.6,2,157.5,1355.8,0,0.00
Akeem Savage,4929943125590225,219,,90457 East South Africa Ct.,Jeffersontown,USA,727870,Hilary@conubia.us,Akeem *Savage,129-237-8821,LA,83785,83785,Akeem Savage,2231.2,2,1050,,1,0.00
Pamela Lynn,4249011903118560,319,,57452 North Austria Ct.,Ketchikan,USA,632122,Dacey@ante.edu,Pamela *Lynn,782-260-4728,WA,46603,46603,Pamela Lynn,4781.2,2,2250,,1,0.00
