ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,VEHICLE_TYPE,MSRP,VEHICLE_BRAND,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME
10107,30,95000,2,2850000,2/24/2003 0:00,Shipped,1,2,2003,Light,95000,Chervolet,Land of Logistics Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,United States,NA,Yu,Kwai
10121,34,81000,5,2754000,5/7/2003 0:00,Shipped,2,5,2003,Light,95000,Chervolet,Reims Shipping,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul
10134,41,94000,2,3854000,7/1/2003 0:00,Shipped,3,7,2003,Light,95000,Chervolet,Lyon Shipping,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel
10145,45,83000,6,3735000,8/25/2003 0:00,Shipped,3,8,2003,Light,95000,Chervolet,Logistics4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie
10159,49,10000,14,490000,10/10/2003 0:00,Shipped,4,10,2003,Light,95000,Chervolet,Corporate Transport Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,United States,NA,Brown,Julie
10168,36,96000,1,3456000,10/28/2003 0:00,Shipped,4,10,2003,Light,95000,Chervolet,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri
10180,29,86000,9,2494000,11/11/2003 0:00,Shipped,4,11,2003,Light,95000,Chervolet,Daedalus Designs Imports,20.16.1555,"184, chauss�e de Tournai",,Lille,,59000,France,EMEA,Ranc�,Martine
10188,48,10000,1,480000,11/18/2003 0:00,Shipped,4,11,2003,Light,95000,Chervolet,Herkku Transports,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel
10201,22,98000,2,2156000,12/1/2003 0:00,Shipped,4,12,2003,Light,95000,Chervolet,Logistics Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,United States,NA,Murphy,Julie
10211,41,10000,14,410000,1/15/2004 0:00,Shipped,1,1,2004,Light,95000,Chervolet,Auto Canal+ Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique
